property_type,society,sector,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,area,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,micasa sec 68,sohna road road,1.5 Crore,12244.0,Carpet area: 1225 (113.81 sq.m.),2.0,2.0,3.0,11.0,,New Property,,,,,0,0,0,0,0,0,44
house,independent,sector 12,1.7,9444.0,Built Up area: 200 (167.23 sq.m.)Carpet area: 180 sq.yards (150.5 sq.m.),3 Bedrooms,3.0,0,1.0,,Undefined,1800.0,,,,0,0,0,0,0,0,0
flat,ss the leaf3.8 ?,sector 85,1.05 Crore,6402.0,Super Built up area 1640(152.36 sq.m.),2.0,2.0,3.0,11.0,North-East,Relatively New,,,,,0,0,0,0,0,0,44
flat,experion windchants3.8 ?,sector 112,3.75 Crore,13383.0,Super Built up area 2802(260.31 sq.m.),3.0,5.0,,22.0,South-West,Relatively New,,,,,0,1,0,0,0,1,49
flat,shree vardhman flora3.8 ?,sector 90,1.25 Crore,4854.0,Super Built up area 2575(239.23 sq.m.),4.0,5.0,2.0,8.0,South,Relatively New,,,,,1,1,0,0,0,0,165
flat,woodstock floors,sector 50,1.05 Crore,10627.0,Carpet area: 988 (91.79 sq.m.),2.0,2.0,2.0,2.0,North,Moderately Old,,,,,0,0,0,0,0,0,53
flat,ats tourmaline3.9 ?,sector 109,2.3 Crore,8897.0,Super Built up area 2585(240.15 sq.m.),3.0,4.0,,10.0,East,New Property,,,,,0,1,0,0,1,0,74
flat,m3m capital,sector 113,3.25 Crore,14142.0,Carpet area: 2298 (213.49 sq.m.),4.0,4.0,,34.0,,Undefined,,,,,1,1,0,1,0,0,115
flat,antriksh heights3.7 ?,sector 84,88.5 Lac,4370.0,Super Built up area 2025(188.13 sq.m.),3.0,3.0,3.0,8.0,North,Relatively New,,,,,0,0,0,1,0,0,67
flat,emaar gurgaon greens4.1 ?,sector 102,1.54 Crore,9333.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3.0,3.0,3.0,12.0,North-East,Relatively New,,,,,0,1,0,0,0,0,61
